51300015275,cce,115,238
51300023353,bgd,200,37
51300038991,gcf,195,134
51300053333,fda,221,289
51300072024,add,94,182
51300082244,cea,175,34
51300182282,adb,217,117
51300184890,bfc,63,296
51300209014,gbf,68,233
51300227821,bfa,151,282
51300269724,ffb,66,189
51300273925,efe,248,85
51300278525,eeb,183,171
51300284150,dag,125,43
51300291777,fea,101,256
51300298019,fgc,101,136
51300298648,dba,293,272
51300310245,bac,78,13
51300330484,ege,158,65
51300345236,cea,295,37
51300448497,dgg,152,171
51300449521,efg,187,269
51300510696,gcc,106,56
51300541735,cgd,29,92
51300552524,fba,294,170
51300620242,aeb,252,229
51300641122,cdg,108,270
51300657925,dbf,247,226
51300696532,fgg,147,259
51300708539,bgb,163,228
51300725052,ebc,272,34
51300755126,abe,190,76
51300762054,cbf,134,116
51300769789,cba,89,291
51300852686,dfg,210,142
51300854025,ebc,132,38
51300871715,bfc,8,257
51300879564,ega,4,115
51300893498,gca,292,251
51301017455,gdf,261,182
51301067517,acc,8,264
51301105902,gcd,135,35
51301124849,dfg,158,147
51301209037,deb,184,279
51301245069,eaf,274,288
51301290833,abf,136,34
51301292064,fed,32,92
51301292919,fdc,203,296
51301297602,dcd,171,281
51301327407,bgc,40,227
51301372175,ccd,4,189
51301386920,aca,129,68
51301400857,bad,93,264
51301448845,dfe,158,86
51301463035,gee,45,277
51301463694,bbg,280,235
51301496266,eeg,93,287
51301561958,gcd,102,33
51301646965,gda,241,207
51301650118,dba,154,291
51301680231,abg,69,41
51301697323,dca,24,194
51301697497,gef,35,282
51301736058,aga,222,242
51301779444,eea,89,178
51301891739,bcc,229,214
51301903592,aab,48,266
51301903742,bgg,71,269
51301926210,efg,124,242
51301932016,ebe,131,39
51301990679,cdf,40,271
51302010653,aea,200,8
51302035039,aed,136,259
51302035659,abc,68,198
51302050858,ddd,43,54
51302063876,fde,244,197
51302124128,egb,84,91
51302140010,dfc,128,102
51302147639,eac,108,143
51302167219,cdf,156,254
51302206923,cff,200,39
51302250471,fad,20,35
51302279871,dcf,174,150
51302313630,eea,221,156
51302340687,gfg,148,243
51302352110,acb,146,46
51302358111,gef,275,273
51302358572,cbd,253,66
51302358990,fgd,223,46
51302378201,dab,46,98
51302379128,cfa,263,47
51302382723,fad,191,36
51302402474,gga,60,119
51302439481,ddc,62,164
51302447730,ded,203,159
51302551808,fbg,249,231
51302584755,bae,3,140
51302610928,fbd,162,112
51302621213,eab,95,42
51302630857,bag,194,296
51302719865,dee,222,179
51302745926,fea,43,215
51302797771,efc,223,285
51302832076,gfe,25,133
51302849498,bcb,33,14
51302858494,ggf,92,40
51302891322,age,60,172
51302939171,abe,138,73
51302944209,cef,24,278
51302988890,fbc,84,9
51302994764,eag,264,208
51303012880,gae,32,247
51303015450,dea,195,116
51303021199,fec,278,232
51303051052,acg,164,202
51303062135,fba,111,144
51303072276,bfa,78,296
51303087287,eaf,217,247
51303093939,abb,256,192
51303102815,deb,216,225
51303135367,cac,241,107
51303146704,ace,68,122
51303185745,agf,237,147
51303219549,aca,198,60
51303228596,eba,33,218
51303277862,bad,73,245
51303279262,cca,30,112
51303310793,bed,41,70
51303332064,deg,168,66
51303348351,fba,53,133
51303357989,dag,196,42
51303368258,ccg,217,223
51303375327,cbe,257,240
51303387113,dcg,168,96
51303418835,cae,218,110
51303450519,fdf,194,115
51303452613,ade,128,134
51303489743,dbc,69,156
51303494128,ced,24,146
51303518628,bfc,145,215
51303526028,eed,51,104
51303580369,adf,149,26
51303586897,dfc,245,117
51303645026,cfe,91,177
51303661855,aff,186,287
51303669749,adg,233,33
51303701306,fde,260,177
51303728113,cef,131,247
51303755044,ebd,270,16
51303845868,aga,160,193
51303876897,bbc,142,19
51303890191,faf,129,88
